sample,DICE_et,DICE_tc,DICE_wt,Hausdorff_et,Hausdorff_tc,Hausdorff_wt,Sensitivity_et,Sensitivity_tc,Sensitivity_wt,Specificity_et,Specificity_tc,Specificity_wt,True_volume_et,True_volume_tc,True_volume_wt,Predicted_volume_et,Predicted_volume_tc,Predicted_volume_wt
SBT-MET-A000726-20180528.nii.gz,0.8688429905595052,0.957274052744283,0.9502959400134522,2.5000022888189486,1.8027764312373833,2.44949032678739,0.9357366315023639,0.953828401536454,0.928412563375768,0.9992913279835108,0.9998226372282943,0.9996808769905611,34.362549155950546,48.09781880438328,131.06368748784064,39.653806725144385,47.75156830906868,125.02742885291576
SBT-MET-A000727-20180724.nii.gz,0.9398975077745163,0.9519905426897195,0.9718097901434984,1.0000014305114746,0.7071067811865476,0.7071067811865476,0.9933341974188512,0.9937852906708317,0.9949628278044137,0.9998467226841303,0.9998751503442148,0.999743098052448,13.501769314408302,14.079520140886308,51.51707369565964,15.037021510601043,15.315771909356117,53.97182720720768
SBT-MET-A000728-20180326.nii.gz,0.9242804260247396,0.9245523933830826,0.9345174059260609,1.118033988749895,1.0000014305114746,1.1180352682384378,0.967656991534878,0.9677601389982017,0.9658046239605222,0.9997999297690517,0.9998003537217899,0.9996074999841028,16.804274038672446,16.834774082303046,41.0363087028265,18.38152629494667,18.408276333212854,43.7840626335144
SBT-MET-A000729-20181109.nii.gz,0.8224132699504396,0.9724335338241475,0.9092237993532843,4.500002861024086,1.0,72.14051508509777,0.9887880925164761,0.9927714459609299,0.9012245450240168,0.9991932541190071,0.9998610540008053,0.9996595172622076,20.558529409170152,29.985292894244193,44.34306343317032,28.876541308164597,31.239544688463212,43.56281231701374
SBT-MET-B000730-20180517.nii.gz,0.9467922456392276,0.9457952264108852,0.9664567352452896,1.5811388300841898,1.870829458027908,1.0000014305114746,0.9277029655440685,0.9299707832247698,0.9857917838524809,0.9999087764192688,0.9998956702615401,0.9994520298099779,30.205293208956718,30.205293208956718,106.22390195429325,28.987291466593742,29.194541763067246,110.47415803432465
SBT-MET-B000731-20180316.nii.gz,0.8336200280519744,0.9554812723686219,0.9703315385284967,5.244046695942453,1.0,0.7071067811865476,0.7649715867696324,0.9822235174122079,0.9843114217030735,0.9999317402121097,0.9999284167901165,0.9997073230739183,10.294514726400376,10.294514726400376,69.36584922850132,8.59901230096817,10.870765550732612,71.36460208773613
SBT-MET-B000732-20161017.nii.gz,0.827767208914081,0.9732725493472082,0.9322343313955056,2.44949032678739,1.0,2.69258452868243,0.966859547606521,0.9824600291047859,0.8760604246771295,0.9995200909059208,0.9999107959870704,0.9999597850913375,13.782269715666772,25.940787108540533,123.21142625510693,18.414026341438294,26.43053780913353,108.36265501379967
SBT-MET-B000733-20181114.nii.gz,0.9287070602451211,0.9138473589670855,0.8725150878596908,2.5495120011680634,2.1213230409581616,2.9154779100689447,0.9466117031972605,0.8962594044717577,0.9994041981117647,0.9999569114139191,0.9999419508748378,0.9995500670135539,4.973007113933563,9.437013499736786,16.364523409605027,5.164757388234139,9.073762980103492,21.124280218482017
SBT-MET-B000734-20180423.nii.gz,0.9683057639153749,0.9675118375544945,0.9704544766403245,1.0,0.7071067811865476,1.0000014305114746,0.9835377168984705,0.9839359346365293,0.9901122229334147,0.9998817358235127,0.999876305870089,0.9995151522298136,26.135537387132644,26.192037467956542,101.1603947108984,26.957788563370706,27.08128874003887,105.25865057349205
SBT-MET-D000739-20180319.nii.gz,0.9722234508381615,0.972014664085348,0.92185180924074,1.1180352682384378,1.0000014305114746,6.103279917325189,0.9834459308308349,0.9852037408149628,0.8554400642693081,0.9998323894995615,0.9998218630443925,0.9999902930455077,44.70206394672394,44.91006424427032,211.92105315506458,45.73406542301178,46.12881598770618,181.3867594754696
